time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010448250000	20.3063	13.0805	4.85378	1.66691	0.558733	radar	2.1267	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2699	13.2972	4.82552	1.69789	0.563603	lidar	1.15803	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2305	13.533	4.82374	1.72394	0.555019	radar	1.32052	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.212	13.7863	4.84001	1.7435	0.545278	lidar	1.21747	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1546	14.016	4.83098	1.78113	0.565484	radar	0.873109	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.1013	14.2659	4.84812	1.80901	0.564118	lidar	0.289755	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0291	14.4954	4.84471	1.84045	0.565635	radar	1.40068	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9232	14.7431	4.87119	1.88247	0.578877	lidar	1.19935	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.856	14.9635	4.85714	1.89892	0.55222	radar	3.4312	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8233	15.1852	4.83527	1.90899	0.534788	lidar	2.17377	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.6888	15.3963	4.83045	1.98779	0.641515	radar	7.81609	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.6545	15.5931	4.78167	1.99736	0.620224	lidar	3.84884	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5582	15.8021	4.77142	2.02373	0.610878	radar	1.42738	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4556	16.0132	4.76751	2.05269	0.609414	lidar	0.02153	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3528	16.2239	4.7632	2.06727	0.573765	radar	1.89876	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2417	16.4036	4.72993	2.09763	0.577377	lidar	0.934701	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1214	16.6029	4.72571	2.12738	0.580096	radar	0.30854	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	18.9945	16.8077	4.73208	2.15524	0.578551	lidar	0.0546886	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8372	16.9988	4.74418	2.2152	0.646626	radar	6.3466	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6714	17.2223	4.79428	2.24817	0.644614	lidar	1.60308	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5673	17.4298	4.7803	2.23068	0.544874	radar	6.21851	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3595	17.6136	4.81416	2.27706	0.563128	lidar	3.78472	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2229	17.8059	4.80701	2.27918	0.508633	radar	2.36842	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0904	17.9931	4.79626	2.2953	0.499442	lidar	0.907795	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9136	18.1488	4.788	2.33945	0.536152	radar	2.02253	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.7772	18.2972	4.74415	2.36139	0.533121	lidar	1.21958	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6415	18.4809	4.73473	2.36803	0.503394	radar	6.68881	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4526	18.6565	4.75989	2.39531	0.504485	lidar	0.385334	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.27	18.7992	4.75062	2.43101	0.523942	radar	1.80409	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1063	18.9381	4.72386	2.45556	0.523348	lidar	0.424312	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9389	19.1085	4.72883	2.46704	0.500713	radar	3.00456	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
